open,high,low,close,volume
87508.04766,88803.22671,87399.40924,88731.98666,18849043990
88733.0656,90884.46056,88298.61903,89944.69386,46398906171
89945.05682,90679.56802,89328.06838,90603.18914,20774828592
90602.99764,91712.58297,90595.10144,91413.49252,26770491368
91414.62865,94762.06809,91414.62865,93882.55303,53376407252
